,model
774,Casa 212 Aviocar
775,Casa 212-AB10 Aviocar
776,Casa 212-M Aviocar 100
777,Caudron C-61
778,Caudron C-630 Simoun
779,Caudron C.635 Simoun
780,Cesna 208 Caravan
781,Cessna  208B Grand Caravan
782,Cessna  501 Citation
783,Cessna 120
784,Cessna 172
785,Cessna 172D
786,Cessna 172F
787,Cessna 172G
788,Cessna 172H
789,Cessna 172L
790,Cessna 172M
791,Cessna 172N
792,Cessna 172RG
793,Cessna 177B
794,Cessna 177B Cardinal
795,Cessna 177RG
796,Cessna 180
797,Cessna 180E
798,Cessna 180H
799,Cessna 180K
800,Cessna 182
801,Cessna 182B
802,Cessna 182H
803,Cessna 182N
804,Cessna 182R
805,Cessna 185
806,Cessna 205
807,Cessna 205A
808,Cessna 206
809,Cessna 206 Seneca
810,Cessna 206G
811,Cessna 207
812,Cessna 207 / Cessna 207
813,Cessna 207 Skywagon
814,Cessna 207A
815,Cessna 208
816,Cessna 208 Caravan
817,Cessna 208 Caravan I
818,Cessna 208 Grand Caravan
819,Cessna 208 Grand Caravan I
820,Cessna 208A Caravan I Cargomaster
821,Cessna 208B
822,Cessna 208B Caravan
823,Cessna 208B Caravan I
824,Cessna 208B Caravan I Super Cargomaster
825,Cessna 208B Cargomaster I
826,Cessna 208B Grand Caravan
827,Cessna 208B Grand Caravan I
828,Cessna 208B Super Cargomaster
829,Cessna 210
830,Cessna 210-5A
831,Cessna 210L
832,Cessna 310
833,Cessna 310 N
834,Cessna 310B
835,Cessna 310C
836,Cessna 310H
837,Cessna 310I
838,Cessna 310J
839,Cessna 310L
840,Cessna 310N
841,Cessna 310Q
842,Cessna 310R
843,Cessna 320
844,Cessna 320B
845,Cessna 320E
846,Cessna 335
847,Cessna 337C
848,Cessna 337D
849,Cessna 337F
850,Cessna 337G
851,Cessna 401
852,Cessna 401A
853,Cessna 402
854,Cessna 402 / Piper PA-28
855,Cessna 402A
856,Cessna 402B
857,Cessna 402C
858,Cessna 402C Utililiner
859,Cessna 404 Titan
860,Cessna 404 Titan Ambassador
861,Cessna 404 Titan Courier II
862,Cessna 404 Titan II
863,Cessna 411
864,Cessna 414A
865,Cessna 421
866,Cessna 421 Golden Eagle
867,Cessna 421A
868,Cessna 421B Golden Eagle
869,Cessna 421C Golden Eagle
870,Cessna 421C Golden Eagle III
871,Cessna 425 Conquest
872,Cessna 441 Conquest
873,Cessna 441 Conquest II
874,Cessna 500 Citation
875,Cessna 500 Citation I
876,Cessna 501 Citation
877,Cessna 501 Citation I
878,Cessna 501 Citation I SP
879,Cessna 501 Citation I/SP
880,Cessna 525 Citation
881,Cessna 525 CitationJet I
882,Cessna 550 Citation
883,Cessna 550 Citation II
884,Cessna 551 Citation II
885,Cessna 560 Citation V
886,Cessna 650 Citation III
887,Cessna 650 Citation VI
888,Cessna A185F
889,Cessna C-207A
890,Cessna CE185
891,Cessna Citation 500
892,Cessna Citation 525
893,Cessna Citation I
894,Cessna P210N
895,Cessna R182
896,Cessna T207A
897,Cessna T210
898,Cessna T210L
899,Cessna T210M
900,Cessna T210N
901,Cessna T310R
902,Cessna T337B
903,Cessna TU206B
904,Cessna TU206C
905,Cessna TU206D
906,Cessna TU206G
907,Cessna U-27A Caravan I
908,Cessna U206
909,Cessna U206A
910,Cessna U206C
911,Cessna U206F
912,Cessna U206G
913,Cessna UC-35D Citation Encore
914,Cessnea 172
915,Chance Vought F-8E
916,Channel Air Bridge
917,Consolidated  32 Liberator II
918,Consolidated 32-2 Liberator I
919,Consolidated 32-2 Liberator II
920,Consolidated 32-3 Liberator II
921,Consolidated B-24
922,Consolidated B-24 / Consolidated B-24
923,Consolidated B-24 Liberator
924,Consolidated B-24H
925,Consolidated B-24J
926,Consolidated B24H
927,Consolidated C-87
928,Consolidated Canso (amphibian)
929,Consolidated Catalina
930,Consolidated Catalina PB2Y-3R
931,Consolidated Fleetster
932,Consolidated LB-30-A Liberator
933,Consolidated LB-30A Liberator
934,Consolidated LB-40-A Liberator
935,Consolidated Liberator
936,Consolidated Liberator B24 C
937,Consolidated OA-10 Catalina
938,Consolidated PB4Y-1
939,Consolidated PBY-2 / Consolidated PBY-2
940,Consolidated PBY-5 Catalina
941,Consolidated PBY-5A  Catalina
942,Consolidated PBY-5A Catalina
943,Convair 580-11A
944,Convair 600
945,Convair B-36D
946,Convair C-131D (CV-340-79)
947,Convair CV- 640
948,Convair CV-240
949,Convair CV-240-0
950,Convair CV-240-12
951,Convair CV-240-2
952,Convair CV-240-4
953,Convair CV-240-53
954,Convair CV-240-7
955,Convair CV-300
956,Convair CV-340
957,Convair CV-340-32
958,Convair CV-340-58
959,Convair CV-340-59
960,Convair CV-340-62
961,Convair CV-340-68B
962,Convair CV-340/440
963,Convair CV-380
964,Convair CV-440
965,Convair CV-440 -62
966,Convair CV-440-0
967,Convair CV-440-11
968,Convair CV-440-12
969,Convair CV-440-59
970,Convair CV-440-62
971,Convair CV-440-80
972,Convair CV-580
973,Convair CV-580 / Cessna 150
974,Convair CV-580/De Hav. Twin Otter 100
975,Convair CV-580F
976,Convair CV-640
977,Convair CV-880
978,Convair CV-880 / McDonnell DC-9-31
979,Convair CV-880-22-1
980,Convair CV-880-22M-21
981,Convair CV-880-22M-3
982,Convair CV-990-30A-5
983,Convair CV-990-30A-5 Coronado
984,Convair CV-990-30A-6
985,Convair RB-36H
986,ConvairCV-440
987,Curtis C-46A
988,Curtis C-46A-20-CU
989,Curtiss AT-32C Condor
990,Curtiss C 46F-CU
991,Curtiss C-46
992,'Curtiss C-46, C-47, DC-3'
993,Curtiss C-46-CU
994,Curtiss C-46-F-1-CU
995,Curtiss C-46A
996,Curtiss C-46A-40-CU
997,Curtiss C-46A-45-CU
998,Curtiss C-46A-50-CU
999,Curtiss C-46A-55
1000,Curtiss C-46A-55-CK
1001,Curtiss C-46A-60-CK
1002,Curtiss C-46A-60-CS
1003,Curtiss C-46A-CU
1004,Curtiss C-46C
1005,Curtiss C-46D
1006,Curtiss C-46D-10-CU
1007,Curtiss C-46D-15-CU
1008,Curtiss C-46D-20-CU
1009,Curtiss C-46D-5-CU
1010,Curtiss C-46D-CU
1011,Curtiss C-46E
1012,Curtiss C-46E-1-CS
1013,Curtiss C-46F
1014,Curtiss C-46F-1-CU
1015,Curtiss C-46F-1CU
1016,Curtiss C-46T
